Time_ns,N_Helix,N_Sheet,N_Coil
63.4,220,0,106
63.6,226,0,100
63.8,227,2,97
64.0,214,0,112
64.2,225,0,101
64.4,216,0,110
64.6,216,0,110
64.8,223,0,103
65.0,217,0,109
65.2,225,0,101
65.4,226,0,100
65.6,225,2,99
65.8,226,0,100
66.0,229,0,97
66.2,227,0,99
66.4,214,0,112
66.6,225,2,99
66.8,221,0,105
67.0,215,0,111
67.2,220,2,104
67.4,224,0,102
67.6,218,0,108
67.8,228,0,98
68.0,220,0,106
68.2,221,2,103
68.4,223,2,101
68.6,220,0,106
68.8,223,0,103
69.0,230,0,96
69.2,224,0,102
69.4,223,0,103
69.6,229,0,97
69.8,224,0,102
70.0,226,0,100
70.2,226,0,100
70.4,229,2,95
70.6,220,0,106
70.8,217,0,109
71.0,221,0,105
71.2,220,2,104
71.4,223,2,101
71.6,218,0,108
71.8,229,0,97
72.0,224,0,102
72.2,224,0,102
72.4,224,0,102
72.6,228,0,98
72.8,218,0,108
73.0,229,0,97
73.2,221,0,105
73.4,225,0,101
73.6,217,0,109
73.8,217,0,109
74.0,224,0,102
74.2,221,0,105
74.4,232,0,94
74.6,227,0,99
74.8,227,0,99
75.0,226,0,100
75.2,222,0,104
75.4,219,0,107
75.6,226,0,100
75.8,217,0,109
76.0,218,0,108
76.2,228,0,98
76.4,222,2,102
76.6,230,2,94
76.8,221,2,103
77.0,212,0,114
77.2,222,0,104
77.4,215,0,111
77.6,221,0,105
77.8,221,0,105
78.0,223,0,103
78.2,231,0,95
78.4,224,2,100
78.6,235,2,89
78.8,228,0,98
79.0,222,0,104
79.2,226,0,100
79.4,224,0,102
79.6,233,0,93
79.8,233,0,93
80.0,227,0,99
80.2,231,0,95
80.4,218,0,108
80.6,238,0,88
80.8,236,0,90
81.0,234,0,92
81.2,232,0,94
81.4,233,0,93
81.6,216,0,110
81.8,223,0,103
82.0,226,2,98
82.2,216,0,110
82.4,236,0,90
82.6,213,0,113
82.8,225,2,99
83.0,216,0,110
83.2,224,2,100
83.4,225,2,99
83.6,210,0,116
83.8,225,2,99
84.0,220,0,106
84.2,211,0,115
84.4,215,0,111
84.6,228,0,98
84.8,214,0,112
85.0,219,0,107
85.2,215,0,111
85.4,228,0,98
85.6,222,0,104
85.8,220,2,104
86.0,218,0,108
86.2,222,0,104
86.4,225,0,101
86.6,217,2,107
86.8,219,0,107
87.0,227,0,99
87.2,224,0,102
87.4,224,0,102
87.6,220,0,106
87.8,226,0,100
88.0,230,0,96
88.2,214,0,112
88.4,217,0,109
88.6,229,0,97
88.8,224,0,102
89.0,234,0,92
89.2,232,0,94
89.4,222,0,104
89.6,227,0,99
89.8,219,0,107
90.0,231,0,95
90.2,225,0,101
90.4,225,0,101
90.6,217,0,109
90.8,224,0,102
91.0,231,0,95
91.2,213,0,113
91.4,226,0,100
91.6,228,0,98
91.8,221,0,105
92.0,217,0,109
92.2,228,0,98
92.4,221,0,105
92.6,225,0,101
92.8,216,0,110
93.0,235,0,91
93.2,220,0,106
93.4,240,0,86
93.6,226,0,100
93.8,228,0,98
94.0,223,0,103
94.2,218,0,108
94.4,221,0,105
94.6,229,0,97
94.8,231,0,95
95.0,216,0,110
95.2,219,0,107
95.4,219,0,107
95.6,225,0,101
95.8,227,0,99
96.0,223,0,103
96.2,217,0,109
96.4,225,0,101
96.6,228,0,98
96.8,237,0,89
97.0,238,0,88
97.2,226,0,100
97.4,224,0,102
97.6,236,0,90
97.8,230,0,96
98.0,226,0,100
98.2,233,0,93
98.4,217,0,109
98.6,209,0,117
98.8,222,0,104
