Time_ns,RMSD_Protein_A,RMSD_Ligand_A,Rg_A,Hbonds,SASA_A2
0.0,0.0,0.0,19.99977682337961,4.0,16012.296875
0.02,0.6455127,0.54876816,19.98814299528488,4.0,16024.112847222223
0.04,0.7507465,0.59709895,20.024659706539914,4.0,16035.928819444445
0.06,0.76095176,0.63937813,19.994319740284094,4.0,16047.744791666666
0.08,0.8802326,0.6767526,20.03414332368887,4.0,16059.560763888889
0.1,0.8409869,0.37456298,19.976356983688653,4.0,16071.376736111111
0.12,0.9108807,0.5482901,20.05516702032081,4.0,16083.192708333334
0.14,0.84830165,0.44164494,20.006543747798133,4.0,16095.008680555555
0.16,0.9214663,0.55598706,20.054339813693623,4.0,16106.824652777777
0.18,0.8789981,0.41177583,20.00757173497082,3.75,16118.640625
0.2,0.83567154,0.5462425,20.020566328152473,3.5,16128.4638671875
0.22,0.96377265,0.5392211,20.08443818112402,3.25,16138.287109375
0.24,0.96753407,0.53723884,20.08147045275191,3.0,16148.1103515625
0.26,1.144311,0.45887613,19.98465479705411,2.75,16157.93359375
0.28,0.90183306,0.71450245,19.933823554341295,2.5,16167.7568359375
0.3,1.0335872,0.42686695,20.013205639720155,2.25,16177.580078125
0.32,0.9657908,0.44751272,19.997029507127742,2.0,16187.4033203125
0.34,0.96594596,0.60065544,20.15810440463042,2.5,16197.2265625
0.36,1.0538929,0.40436548,20.090160047318047,3.0,16207.0498046875
0.38,1.0586078,0.7372292,20.095029789162187,3.5,16227.06640625
0.4,1.101256,0.8527046,20.1318800697942,4.0,16247.0830078125
0.42,1.0241611,0.7635918,20.083128276364093,4.0,16267.099609375
0.44,1.013355,0.8244414,20.091286690283923,4.0,16287.1162109375
0.46,1.0139091,0.7954964,20.066209477514686,4.0,16307.1328125
0.48,1.1689156,0.7657873,20.182379732665424,4.0,16327.1494140625
0.5,1.0883619,0.8667692,20.180943427556812,4.0,16347.166015625
0.52,1.0403757,0.806906,20.12625375990173,4.0,16367.1826171875
0.54,1.0605867,0.81552714,20.131838514355927,4.0,16387.19921875
