Time_ns,RMSD_Backbone_A,RMSD_Core_HE_A,RMSD_BindingSite_A
2.9,1.7684234,1.6869106,1.2070651
2.92,1.7975312,1.741332,1.1310126
2.94,1.6819738,1.5452312,1.0148649
2.96,1.5524745,1.5018859,1.2017384
2.98,1.3153338,1.2721287,0.9334593
3.0,1.3948338,1.3339912,0.9745452
3.02,1.5919625,1.531003,1.0647097
3.04,1.5929736,1.5170763,1.1551017
3.06,1.4290185,1.3828683,0.949729
3.08,1.4176006,1.3286631,0.94574964
3.1,1.7275076,1.531757,1.1218303
3.12,1.5070193,1.3050923,0.9905602
3.14,1.4830754,1.2897502,1.0615537
3.16,1.4824691,1.3005973,1.0979352
3.18,1.6046369,1.4416413,1.1509134
3.2,1.5163329,1.3473821,1.1302611
3.22,1.3878633,1.2334383,1.3495784
3.24,1.361221,1.2312295,1.1263268
3.26,1.5272332,1.3634874,1.1429915
3.28,1.5173204,1.3881468,1.0822995
3.3,1.4604571,1.3227111,1.0074914
3.32,1.4411256,1.3437451,1.0353991
3.34,1.4667253,1.3319077,1.0185232
3.36,1.5714611,1.4934415,1.2283038
3.38,1.4461576,1.3121723,1.0435228
3.4,1.745856,1.5887262,1.1453708
3.42,1.624351,1.5185797,0.97961175
3.44,1.5310533,1.4183586,1.0603442
3.46,1.5722471,1.4415078,0.9615952
3.48,1.5504472,1.4029224,1.0236431
3.5,1.5629553,1.4005687,0.958778
3.52,1.6255723,1.4358128,1.0938134
3.54,1.5019418,1.2641287,0.9446398
3.56,1.5936081,1.4377265,1.1139507
3.58,1.6316192,1.402746,0.967151
3.6,1.6459912,1.5183985,1.104352
3.62,1.7134916,1.5645046,1.1755241
3.64,1.71371,1.5719379,1.1122293
3.66,1.6530964,1.4464391,1.2823462
3.68,1.495571,1.3693826,1.0071213
3.7,1.6412069,1.454854,1.1585566
3.72,1.719055,1.5769148,1.1910496
3.74,1.3861356,1.2461891,1.1341281
3.76,1.5308577,1.3647571,1.0152152
3.78,1.5878409,1.4316902,1.2479731
3.8,1.8023577,1.6025965,1.4503784
3.82,1.6175132,1.4493823,1.5492939
3.84,1.5525228,1.4328227,1.2647282
3.86,1.6456954,1.5153354,1.4189241
3.88,1.5792098,1.3930696,1.2370882
3.9,1.7393667,1.5870295,1.2586055
3.92,1.7116767,1.5693648,1.2464925
3.94,1.6431223,1.5185797,1.3390663
3.96,1.8064666,1.6836317,1.3496555
3.98,1.7549264,1.6333694,1.3452417
4.0,1.613457,1.4457928,1.325786
4.02,1.6742085,1.5533763,1.3359485
4.04,1.536132,1.4031576,1.2520583
4.06,1.4701425,1.251209,1.1478207
4.08,1.5440096,1.3635075,1.2391258
4.1,1.6335459,1.4923733,1.4245038
4.12,1.5261542,1.3271724,1.2001357
4.14,1.6175593,1.4482628,1.1388882
4.16,1.4845389,1.3350416,1.0871749
4.18,1.555631,1.3380861,1.2022865
4.2,1.6023017,1.4348359,1.3463819
4.22,1.6800581,1.5592766,1.2190863
4.24,1.7318804,1.5679452,1.365106
4.26,1.6852431,1.4710723,1.3118162
4.28,1.7692279,1.5980781,1.3225517
4.3,1.6400428,1.4826144,1.3551046
4.32,1.7817762,1.5868043,1.189141
4.34,1.8066531,1.6236792,1.2850748
4.36,1.8221109,1.6466801,1.3480164
4.38,1.7276592,1.5635906,1.2353139
4.4,1.6648334,1.4746189,1.3118691
4.42,1.6922941,1.5553927,1.411278
4.44,1.5545235,1.3875921,1.3012722
4.46,1.7401845,1.6184385,1.3759422
4.48,1.7451911,1.604568,1.1914062
4.5,1.703871,1.5588712,1.1967356
4.52,1.6819738,1.5113387,1.1681774
4.54,1.7891376,1.6453105,1.4043189
4.56,1.6602386,1.461472,1.4913673
4.58,1.6635734,1.5300149,1.3780954
4.6,1.6344166,1.5105562,1.1252103
4.62,1.6559254,1.5271912,1.3193356
4.64,1.7520223,1.594806,1.267775
4.66,1.575269,1.4267076,1.2625875
4.68,1.647401,1.5137743,1.3551238
4.7,1.6990293,1.5509675,1.317231
4.72,1.6035633,1.496035,1.3065051
4.74,1.7135571,1.6099222,1.3797114
4.76,1.7415397,1.6584425,1.4105344
4.78,1.6656654,1.4829667,1.2469654
4.8,1.7683388,1.6332854,1.3484216
4.82,1.7180309,1.5955644,1.3083487
4.84,1.7200785,1.5842725,1.3313328
4.86,1.8822155,1.7342602,1.4090155
4.88,1.6367747,1.5405625,1.3478298
4.9,1.6459229,1.5607394,1.4065952
4.92,1.676533,1.5252997,1.2386081
4.94,1.7414321,1.5892972,1.3341366
4.96,1.7455986,1.6271298,1.4047203
4.98,1.7159592,1.5692948,1.2943448
5.0,1.6141529,1.4587417,1.3055028
5.02,1.7262499,1.5846543,1.2938356
5.04,1.8927497,1.6719973,1.2348785
5.06,1.5800632,1.3717097,1.2183748
5.08,1.6351496,1.4351234,1.2512826
5.1,1.7183578,1.5937369,1.290333
5.12,1.614872,1.468416,1.2835019
5.14,1.6563774,1.5363271,1.1875213
5.16,1.7629521,1.6350183,1.2945055
5.18,1.80269,1.6992521,1.4108787
5.2,1.6589301,1.5451777,1.3210232
5.22,1.7868967,1.6744785,1.2972552
5.24,1.7257292,1.6295947,1.2935542
5.26,1.8123232,1.6647465,1.4799294
5.28,1.8417335,1.6968882,1.2290729
5.3,1.9423109,1.8257902,1.3509203
5.32,1.9391853,1.7947624,1.2990117
5.34,1.7952592,1.6464798,1.394947
5.36,1.7609756,1.6152416,1.3668578
5.38,1.6727316,1.5197378,1.2680006
5.4,1.8339913,1.7050023,1.4097844
5.42,2.134758,2.020556,1.4040473
5.44,1.8581288,1.6925405,1.3819088
5.46,1.919174,1.7699431,1.2402518
5.48,1.6923163,1.5131568,1.3165991
5.5,1.6383296,1.4851158,1.2328129
5.52,1.6201038,1.460117,1.3957672
5.54,1.6445575,1.4776921,1.1244395
5.56,1.6121103,1.4316325,1.2547281
5.58,1.67394,1.4810373,1.1845388
5.6,1.6478329,1.4754579,1.2477925
5.62,1.736113,1.5716231,1.2489452
5.64,1.6195259,1.4392745,1.2915285
5.66,1.6715672,1.4997244,1.2183251
5.68,1.5687184,1.3974638,1.2874137
5.7,1.8308034,1.6876929,1.4523497
5.72,1.7303663,1.6043797,1.3233839
5.74,1.7004614,1.5296017,1.2509984
5.76,1.6813058,1.4986974,1.3448226
5.78,1.602442,1.407696,1.3841969
5.8,1.6898584,1.4570258,1.3429712
5.82,1.8503742,1.6283796,1.4335011
5.84,1.6621321,1.4816127,1.4427608
5.86,1.601881,1.4104081,1.32523
5.88,1.7689316,1.4900873,1.3337271
5.9,1.710495,1.4780829,1.205865
5.92,1.7759666,1.5265069,1.2102715
5.94,1.7893887,1.5980437,1.2487023
5.96,1.726033,1.5401698,1.149896
5.98,1.6520088,1.5081518,1.3266163
6.0,1.5126489,1.344645,1.2356577
6.02,1.577834,1.4327842,1.1829423
6.04,1.6749017,1.5462095,1.1076131
6.06,1.6250885,1.4381471,1.124979
6.08,1.6271379,1.4240652,1.376232
6.1,1.7325722,1.5099555,1.2844067
6.12,1.6125283,1.310537,1.1485758
6.14,1.8214531,1.5211302,1.3132365
6.16,1.7174859,1.4172919,1.3738801
6.18,1.6580496,1.4053112,1.3080769
6.2,1.4715171,1.2814097,1.3086666
6.22,1.6580722,1.3816948,1.2242527
6.24,1.7533468,1.4426136,1.3440359
6.26,1.7577194,1.4680415,1.3190596
6.28,1.7054746,1.4432614,1.213305
6.3,1.7931722,1.513629,1.4402528
6.32,1.7232538,1.5169675,1.2480981
6.34,1.737773,1.5439851,1.1768876
6.36,1.698919,1.5414368,1.0681729
6.38,1.7222322,1.5730394,1.1239382
6.4,1.5044577,1.367856,1.1169121
6.42,1.6457409,1.4959981,1.0769271
6.44,1.5445673,1.4024128,1.1517718
6.46,1.6996243,1.5680504,1.2110664
6.48,1.7664956,1.6204249,1.1769319
6.5,1.8334603,1.7185102,1.2051531
6.52,1.6631006,1.5321518,1.2377118
6.54,1.5307109,1.4354299,1.1400067
6.56,1.6990514,1.5305719,1.3017918
6.58,1.675684,1.5501695,1.19916
6.6,1.7714276,1.6633421,1.3319577
6.62,1.7803676,1.6527963,1.1758043
6.64,1.5720091,1.4045479,1.2307012
6.66,1.4458467,1.3122561,1.1606425
6.68,1.6243048,1.4908988,1.0680999
6.7,1.5133667,1.3727515,1.3691709
6.72,1.5404892,1.3853711,1.2818458
6.74,1.4141097,1.2877661,1.2607528
6.76,1.5775256,1.4582894,1.2798896
6.78,1.52274,1.4031184,1.3671939
6.8,1.5048063,1.3684989,1.3903464
6.82,1.4447327,1.3395442,1.2871443
6.84,1.5069447,1.3915294,1.373754
6.86,1.4384468,1.3392158,1.1814535
6.88,1.4080861,1.2969775,1.1161124
6.9,1.4887202,1.3573842,1.233818
6.92,1.507516,1.3982111,1.1731542
6.94,1.2899518,1.1365741,1.2794967
6.96,1.4049447,1.2907944,1.2594318
6.98,1.3566469,1.2221525,1.2599685
7.0,1.4439291,1.3613687,1.1884335
7.02,1.2824405,1.1854739,1.2545071
7.04,1.3552661,1.2546324,1.1710535
7.06,1.3800441,1.2115787,1.4383614
7.08,1.3622934,1.2378439,1.2637475
7.1,1.3630079,1.1888319,1.1931369
7.12,1.3347481,1.1540974,1.475682
7.14,1.2433622,1.0773382,1.428788
7.16,1.3792298,1.2117829,1.4416187
7.18,1.4551916,1.3077439,1.402614
7.2,1.3534415,1.1959106,1.4622492
7.22,1.3133111,1.1703961,1.293286
7.24,1.2350222,1.0589604,1.2009734
7.26,1.1771832,1.0274134,1.3788689
7.28,1.2841914,1.1782391,1.329632
7.3,1.3975693,1.2449751,1.4112473
7.32,1.4304851,1.2737918,1.3239341
7.34,1.3041555,1.1607486,1.3131835
7.36,1.3829713,1.1991248,1.2606497
7.38,1.5128964,1.3647772,1.3187177
7.4,1.5933731,1.4641974,1.2549217
7.42,1.4972224,1.3467289,1.3649788
7.44,1.5150483,1.3621156,1.3454027
7.46,1.558757,1.3832262,1.3546823
7.48,1.4384729,1.2803578,1.430274
7.5,1.4602778,1.3002381,1.3147671
7.52,1.4516364,1.2516485,1.3572526
7.54,1.4896255,1.3082694,1.3419573
7.56,1.5328622,1.37751,1.1520653
7.58,1.4428914,1.3109775,1.3247719
7.6,1.4693016,1.2664104,1.5110264
7.62,1.3791484,1.2024448,1.2823801
7.64,1.5152706,1.3637899,1.4505397
7.66,1.5083604,1.420973,1.2991652
7.68,1.4361542,1.3120257,1.3710945
7.7,1.3841622,1.2387542,1.3218762
7.72,1.4607649,1.2912415,1.1584667
7.74,1.5229367,1.3437451,1.5408039
7.76,1.5298055,1.4199278,1.3678722
7.78,1.6018577,1.4925207,1.303755
7.8,1.4951954,1.3449925,1.3380234
7.82,1.3316869,1.1416427,1.1594243
7.84,1.352445,1.2004997,1.1941029
7.86,1.524755,1.3614695,1.33515
7.88,1.4919864,1.2946438,1.3635491
7.9,1.5340341,1.3103902,1.2968006
7.92,1.4116981,1.2500219,1.3192437
7.94,1.4009678,1.1988268,1.2232395
7.96,1.5082114,1.3505615,1.2179195
7.98,1.4422424,1.2686877,1.198104
8.0,1.4711608,1.2705284,1.3275635
8.02,1.5044329,1.3167739,1.4946772
8.04,1.3644631,1.2135286,1.167435
8.06,1.4774595,1.3257216,1.257158
8.08,1.477637,1.3176086,1.4101164
8.1,1.5206975,1.425416,1.5041311
8.12,1.6034465,1.4383191,1.4948859
8.14,1.6282421,1.4984589,1.463239
8.16,1.6190865,1.4438517,1.4992526
8.18,1.599612,1.4861519,1.2670909
8.2,1.6840428,1.5258584,1.5419065
8.22,1.6028392,1.4668987,1.3793468
8.24,1.48522,1.360621,1.3383085
8.26,1.4931403,1.3631445,1.3690126
8.28,1.4101853,1.2782302,1.2677134
